公司名稱,職缺名稱,徵才網址,薪水區間,工作性質,工作地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具
瑞儀光電股份有限公司,14G009 AI人工智慧工程師,http://www.104.com.tw/job/6lp8d?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,高雄市前鎮區中六路1號,不需負擔管理責任,需出差，一年累積時間未定,日班，0800-1700,依公司規定,不限,1至2 人,上班族,2年以上,碩士,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
競泰股份有限公司,SAP 系統工程師,http://www.104.com.tw/job/6zjb5?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市中和區建一路93巷2號3樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,上班族,3年以上,專科、大學、碩士,資訊工程相關、資訊管理相關,不拘,MS SQL、Visio、SAP
全球快遞_全球商務科技股份有限公司,科服處-程式設計師(SD人員),http://www.104.com.tw/job/6mbly?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區長安東路二段162號2樓,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1 人,上班族、二度就業,3年以上,大學以上,不拘,不拘,不拘
佳勝科技股份有限公司,資訊工程師,http://www.104.com.tw/job/6igy5?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,桃園市觀音區觀音工業區工業一路10之1號 (觀音工業區),不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,不限,1 人,上班族、應屆畢業生,不拘,大學、碩士,資訊工程相關、資訊管理相關,不拘,不拘
三竹資訊股份有限公司,資訊源研發工程師,http://www.104.com.tw/job/spu1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區新生北路二段39號11F,不需負擔管理責任,無需出差外派,日班，08:30~18:00,週休二日,不限,1至2 人,上班族,不拘,大學以上,數學及電算機科學學科類、資訊工程相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
新漢股份有限公司,(TMR- ) 資料分析(機器學習)開發工程師,http://www.104.com.tw/job/6ua9x?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市中和區中正路920號10樓(元隆捷運雙星大樓A棟),不需負擔管理責任,無需出差外派,日班，09:00-18:00,依公司規定,不限,1 人,上班族,3年以上,大學、碩士,資訊工程相關、電機電子工程相關、其他數學及電算機科學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
前進國際股份有限公司,資料倉儲工程師(竹南竹科三期/台南南科),http://www.104.com.tw/job/71f0u?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台南市新市區(亦可選擇竹南廠區) (南部科學工業園區),不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1至2 人,上班族,3年以上,不拘,不拘,不拘,PostgreSQL、Oracle
緯創資通股份有限公司,資料庫軟體工程師 _ 汐止 _00000,http://www.104.com.tw/job/6zgll?jobsource=2018indexpoc,"月薪 30,000~60,000元",全職,新北市汐止區新台五路一段88號,不需負擔管理責任,需出差，一年累積時間未定,日班，08:40-18:00,週休二日,一個月內,1 人,上班族,3年以上,大學、碩士,資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
國巨股份有限公司,(台北)資料庫系統資深工程師-擴大招募,http://www.104.com.tw/job/4qokl?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市新店區寶橋路233-1號3樓(231),不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1至2 人,上班族,3年以上,大學、碩士,資訊工程相關、資訊管理相關、其他工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
德義資訊股份有限公司,Crystal reports及資料庫工程師,http://www.104.com.tw/job/3oua8?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市大安區,不需負擔管理責任,無需出差外派,日班，09:00~18:00,週休二日,不限,2至3 人,上班族,3年以上,專科以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Java、Struts、Oracle、PL/SQL
